# Bundesland;Name des Betriebs ;Straße / Haus-Nr.;Ort;Alte Zulassungs-nummern;Neue Zulassungsnummer;Zulassungsnummer Eierpackstellen;CS;RW;WM;SH;CP;SH;CP;SH;CP;GHE;CP;MM;MP;MSM;PP;CC;PP;CC;PP;CC;PP;CC;PP;CC;PP;EPC;LEP;PP;AH;FV;ZV;FFPP;PP;WM;PC;DC;PP;Einschränkungen;Bemerkungen;Zulassung befristet bis;Zulassung ruht seit;Drittlandzulassungen;
HE;Haktan GmbH;Aueweg 1;34613 Schwalmstadt;;HE 30355;;;;;;O;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Hampe GbR;Talstraße 33;34369 Hofgeismar;;HE 30351;;;;;B, P;B, P;;;;;;;B;B, P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Hans-Jürgen Pietsch Metzgerei-Gastwirtschaft;Bilz 20;34633 Ottrau;;HE 30314;;;;;;B, P;;;;;;;;B, P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Harald Krämer;Marburger Straße 44;35457 Lollar;;HE 20121;;;;;S, B, O, P, C;S, B, O, P, C;A;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;HAT-Tütüncü;Vaake Süd 1C;34359 Rainhardshagen;;HE 30138;;;;;B, O;B, O;;;;;;;B;B;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Haupt & Danzeisen oHG;Frankfurter Straße 2-4;35315 Homberg (Ohm);;HE 20243;;;;;B, O, P;B, O, P;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Hausmacher Wurstkessel, Josef Thrin;An den Gänsäckern 7;36358 Herbstein;;HE 20246;;;;;B, O, P, C;;;;;;wA, wL, wU, wG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Hausmacher Wurstwaren R. Kuhlmann;k.a. 0;34396 Liebenau;;HE 30223;;;;;P;P;;;;;;;;P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Hausmacherwurstwaren Köhler;Dammweg 1;36287 Breitenbach a. Herzberg;;HE 30306;;;;;P;P;;;;;;;P;P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Hausschlachterei Göttig;k.a. 0;36205 Sontra;;HE 30146;;;;;P;B, P;;;;;;;B, P;B, P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
