Type;Name;App.No
PP;Bar_i_ P/f, Sørvágur;FO 287
PP;Biotech pf, Ei_i;FO 134
PP;Bátafiskur P/f, Ei_i;FO 113
PP;Delta Seafood, Tvøroyri;FO 186
PP;Eldborg fisk, Tvøroyri;FO 183
PP;Farita, Haldarsvík;FO 143
PP;Faroe Marine Products, Leirvík;FO 121
PP;Faroe Origin, Runavík;FO 126
PP;Faroe4Fish, Kaldbak;FO 146
PP;Faroes Apama sp/f, Vágur;FO 196
PP;Fiskavirki_, Gøta;FO 123
PP;Fiskurin, Árnafjør_ur;FO 107
PP;Fofish LML, Leirvík;FO 122
PP;Greipan, Oyndarfjør_ur;FO 136
PP;Grønutúgva Sp/f, Vágur;FO 285
PP;JMA Fram, Porkeri;FO 193
PP;Kovin, Sandavágur;FO 162
PP;Kósin Seafood, Klaksvík;FO 102
PP;Landingarmi_stø_ Føroya, Klaksvík;FO 286
PP;Landingarmi_stø_ Føroya, Toftir;FO 284
PP;Landingarmi_stø_in á Tvøroyri;FO 288
PP;Nevi_ Fiskaeksport, Runavík;FO 137
PP;Northern Fish Cold Storage, Klaksvík;FO 108
PP;Nor_fra, Nor_depil;FO 109
PP;Nor_ís, Ei_i;FO 130
PP;ORCA, Argir;FO 269
PP;PP Faroe Pelagic, Kollafjør_ur;FO 145
PP;Sandoy Seafood Skopun;FO 170
PP;Sjógæti, Nor_skála;FO 110
PP;Sp/f Lø_hamar Seafood, Vágur;FO 184
PP;Tavan, Lorvík;FO 129
PP;Valhalla, Toftir;FO 119
PP;Var_in Pelagic, Tvøroyri;FO 181
PP;Va_horn Seafood, Strendur;FO 135
PP;Va_horn Seafood, Toftir;FO 127
PP;Vestmanna Seafood, Vestmanna;FO 141
PP;Vestmanna Seafood, Vestmanna;FO 142
ZV;FD 436 Var_borg XPPI;FO 215
ZV;KG 14 Næraberg XPXK;FO 209
ZV;KG 183 Sjúr_arberg OW 2408;FO 226
ZV;KG 244 Ågot OW 2319;FO 201
ZV;KG 9 Klakkur XPPR;FO 232
ZV;TG 752 Ran XPKY;FO 210
ZV;TG 788 Anita OW 2124;FO 259
ZV;TG 964 Sjagaklettur OW 2306;FO 219
ZV;TG 965 Gullberg;FO 213
ZV;VA 404 Vesturleiki OW 2336;FO 222
ZV;VA 705 Brestir OW 2387;FO 221
ZV;VN 556 Túgvusteinur XPZF;FO 202
FV;FD 10 Akraberg XPLH;FO 230
FV;FD 1160 Havborg OW 2163;FO 235
FV;FD 181 Ólavur Nolsøe XPLJ;FO 231
FV;KG 180 Gadus XPXO;FO 220
FV;KG 689 Nor_borg XPYG;FO 223
FV;KG 690 Christian í Grótinum OW 2454;FO 229
FV;TN 180 Enniberg XPXL;FO 203
FV;VA 200 Vesturvón OW 2420;FO 218
FV;VN 123 Arctic Viking OW 2399;FO 200
PPA;Bakkafrost Harvest, Klaksvík;FO 103
PPA;Bakkafrost Harvest, Kollafjør_ur;FO 147
PPA;Bakkafrost Harvest, Strendur;FO 114
PPA;Bakkafrost Processing, Fuglafjør_ur;FO 139
PPA;Bakkafrost Processing, Glyvrar;FO 125
PPA;Faroe Farming, Vágur;FO 190
PPA;P/F Luna, Sørvágur;FO 166
A;Frystigoymslan Bergfrost, Fuglafjør_ur;FO 272
A;Frystigoymslan, P/F Skipafelagi_ Føroyar, Tórshavn;FO 289
A;Frystihúsi_ í Ánunum;FO 277
A;P/F Samskip, Kollafjør_ur;FO 273
A;Runavíkar Frostgoymsla, Glyvrar;FO 276
