Numero agrement,SIRET,Raison Sociale,Adresse,Code Postal,Commune,AVL,AOD,AGE,AFE,DMG,CLA,CRE,COQ,CCC,DVV,DGS,DVB,DVG,EOE,ENT,EMG,GCO,GCH,GSA,GAF,OPR,PEC,BOY,GRE,LPL,PVI,VHA,OLI,PBV,VSM
01.004.002,8678020200031,CENTRE VIANDES BEAUVALLET FILS,659 AV LEON BLUM,1500,AMBERIEU EN BUGEY,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,
01.012.052,30571478400033,PELLETIER JOEL JEAN ROGER - LA FRUITIERE D'ARANC,LA FRUITIERE,1110,ARANC,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
01.013.050,44863287700016,GAEC DE LA PINSONNE,0,1230,ARANDAS,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
01.024.002,34145155700027,TRANSPORTS GEORGES CHENAUX,ZONE ARTISANALE,1340,ATTIGNAT,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
01.033.002,37784209100029,VALSERINE FROMAGERIE,10 12 10 AV PAUL LANGEVIN BP 335,1200,BELLEGARDE SUR VALSERINE,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
01.033.050,76420053100029,SOC D ENTREPRISE FRIGORIFIQUE DE L AIN,42 AV DU STADE,1200,BELLEGARDE SUR VALSERINE,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
01.033.060,80337680500013,SOCIETE BELLEGARDIENNE D'ABATTAGE - SBA,ZI D'ARLOD 6 RUE LOUIS ARMAND,1200,BELLEGARDE SUR VALSERINE,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
01.034.001,32292714600033,FROMAGERIE GUILLOTEAU,EN BURBANE CHE DES ECASSAZ,1300,BELLEY,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
01.034.050,77554408300295,ASS DEP AMIS ENFANTS INADAPTES - CAT LA LECHERE,RTE DE ST GERMAIN BP 156,1300,BELLEY,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
01.046.050,34407061000011,DEGLETAGNE SYLVIE,RAMEAU,1290,BIZIAT,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
01.047.001,33398522400018,S P I,ZI PLAINE DE L'AIN,1150,BLYES,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,
01.053.003,33197998900026,ABATTOIRS DES CRETS,3 RUE JOSEPH JACQUART,1000,BOURG EN BRESSE,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
01.053.005,30121321100040,FRANCE SELECT - L'EUROPEAIN,ZI NORD RUE JOSEPH JACQUART,1000,BOURG EN BRESSE,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,
01.053.006,33990964000015,GIRAUDET,Z.I. NORD 10 AV ARSENE D ARSONVAL,1000,BOURG EN BRESSE,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,
