Script,OFF Taxonomy,FR,EU,url,Date
Yes,0 - Conditionnement,Etablissements de conditionnement/reconditionnement,Re-wrapping establishmen,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA4_ASMANIPREC.pdf,10/10/15
Yes,0 - Conditionnement,Etablissements de conditionnement/reconditionnement,Re-wrapping establishmen,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA4_ASMANIPREC.txt,10/10/15
Yes,0 - Entreposage,Entreposage,Cold store,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA4_AGSANENTR_PRV.pdf,10/10/15
Yes,0 - Entreposage,Entreposage,Cold store,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA4_AGSANENTR_PRV.txt,10/10/15
No,0 - Wholesale,,,,10/10/15
Yes,Autres – Dérivés Lait,"Etablissements manipulant sous-produits pour des usages en dehors de l'alimentation animale: Lait, produits à base de lait, produits dérivés de lait, colostrum, produits à base de colostrum","Milk, milk-based products, milk-derived products, colostrums, colostrums-based products(Article 23 1069/2009",https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SPA5_ENRLAICOLOST.pdf,10/10/15
Yes,Autres – Dérivés Lait,"Etablissements manipulant sous-produits pour des usages en dehors de l'alimentation animale: Lait, produits à base de lait, produits dérivés de lait, colostrum, produits à base de colostrum","Milk, milk-based products, milk-derived products, colostrums, colostrums-based products(Article 23 1069/2009",https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SPA5_ENRLAICOLOST.txt,10/10/15
No,Collective Catering,Liste des établissements disposant d'une dérogation à l'agrément communautaire Repas fractions avec produits (AM 8/6/06),Exempted establishments from EU approval agreement-collective catering,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA5_DERAGRRRP_VAL2.pdf,10/10/15
No,Collective Catering,Liste des établissements disposant d'une dérogation à l'agrément communautaire Repas fractions avec produits (AM 8/6/06),Exempted establishments from EU approval agreement-collective catering,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA5_DERAGRRRP_VAL2.txt,10/10/15
No,Collective Catering,Cuisines centrales communautaires,Collective catering,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA4_ASCCC_PRV.pdf,10/10/15
No,Collective Catering,Cuisines centrales communautaires,Collective catering,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA4_ASCCC_PRV.txt,10/10/15
No,General List,,,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles//SSA6B_AGSANDCPGIBSVG_PRV.pdf,10/10/15
Yes,I - Abattoir Boucherie,Abattoirs d'ongulés domestiques,Meat of domestic ungulates slaughterhouse,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA6B_AGSANABONGD_PRV.pdf,10/10/15
Yes,I - Abattoir Boucherie,Abattoirs d'ongulés domestiques,Meat of domestic ungulates slaughterhouse,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA6B_AGSANABONGD_PRV.txt,10/10/15
Yes,I - Découpe Boucherie,Liste des établissements disposant d'une dérogation à l'agrément communautaire Viande fraîche de boucherie hors viande hachée,Exempted establishments from EU approval agreement-Meat of domestic ungulates-Cutting plant,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA5_DERAGRVFB_VAL2.pdf,10/10/15
Yes,I - Découpe Boucherie,Liste des établissements disposant d'une dérogation à l'agrément communautaire Viande fraîche de boucherie hors viande hachée,Exempted establishments from EU approval agreement-Meat of domestic ungulates-Cutting plant,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA5_DERAGRVFB_VAL2.txt,10/10/15
Yes,I - Découpe Boucherie,Liste des établissements de boucherie autorisés à détenir et désosser des viandes de bovins (>30 mois) contenant de l'os vertébral,,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA5_DESOSVDEBOV_VAL.pdf,10/10/15
Yes,I - Découpe Boucherie,Liste des établissements de boucherie autorisés à détenir et désosser des viandes de bovins (>30 mois) contenant de l'os vertébral,,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA5_DESOSVDEBOV_VAL.txt,10/10/15
Yes,I - Découpe Boucherie,Ateliers de découpe de viandes d'animaux de boucherie,Meat of domestic ungulates cutting plan,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA6B_AGSANDCPBOU_PRV.pdf,10/10/15
Yes,I - Découpe Boucherie,Ateliers de découpe de viandes d'animaux de boucherie,Meat of domestic ungulates cutting plan,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA6B_AGSANDCPBOU_PRV.txt,10/10/15
Yes,II - Abattoir Ferme,Salles d'abattage agréées à la ferme,Meat from poultry and lagomorphs farm Slaughterhou,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA6B_AGSALABFRM_PRV.pdf,10/10/15
Yes,II - Abattoir Ferme,Salles d'abattage agréées à la ferme,Meat from poultry and lagomorphs farm Slaughterhou,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA6B_AGSALABFRM_PRV.txt,10/10/15
Yes,II - Découpe volaille,"Ateliers de découpe de viandes de volailles, de lapins (et apparentés)",Meat from poultry and lagomorphs cutting plant,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA6B_AGSANDCPVOL_PRV.pdf,10/10/15
Yes,II - Découpe volaille,"Ateliers de découpe de viandes de volailles, de lapins (et apparentés)",Meat from poultry and lagomorphs cutting plant,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA6B_AGSANDCPVOL_PRV.txt,10/10/15
No,II - Laboratoire volaille,Laboratoires agréés pour la réalisation des tests sérologiques de contrôle de l'efficacité des vaccins Antirabiques,Laboratories approved to perform the serological tests to monitor the effectiveness of rabies vaccines,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/LABO1_LAB_AUTRE_AGREE.pdf,10/10/15
No,II - Laboratoire volaille,Laboratoires agréés pour la réalisation des tests sérologiques de contrôle de l'efficacité des vaccins Antirabiques,Laboratories approved to perform the serological tests to monitor the effectiveness of rabies vaccines,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/LABO1_LAB_AUTRE_AGREE.txt,10/10/15
Yes,II- Abattoir volaille,"Abattoirs de volailles, de lapins (et apparenté)",Meat from poultry and lagomorphs Slaughterhouse,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA6B_AGSANABVOL_PRV.pdf,10/10/15
Yes,II- Abattoir volaille,"Abattoirs de volailles, de lapins (et apparenté)",Meat from poultry and lagomorphs Slaughterhouse,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA6B_AGSANABVOL_PRV.txt,10/10/15
Yes,III - Abattoir Gibier Elevage,Abattoirs de gibier d'élevage,Meat of farmed game saulghterhouse,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA6B_AGSANABGIBELV_PRV.pdf,10/10/15
Yes,III - Abattoir Gibier Elevage,Abattoirs de gibier d'élevage,Meat of farmed game saulghterhouse,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA6B_AGSANABGIBELV_PRV.txt,10/10/15
Yes,III - Découpe Gibier Elevage,Ateliers de découpe de viandes de gibiers d'élevage agréés CE,Meat of farmed game cutting Plant,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA6B_AGSANDCPGIBEL_PRV.pdf,10/10/15
Yes,III - Découpe Gibier Elevage,Ateliers de découpe de viandes de gibiers d'élevage agréés CE,Meat of farmed game cutting Plant,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA6B_AGSANDCPGIBEL_PRV.txt,10/10/15
Yes,IV - Découpe Gibier Sauvage,Ateliers de traitement du gibier sauvage,large and small wild game meat – Game- handling establishme,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA6B_AGATTGGIBSVG_PRV.pdf,10/10/15
Yes,IV - Découpe Gibier Sauvage,Ateliers de traitement du gibier sauvage,large and small wild game meat – Game- handling establishme,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA6B_AGATTGGIBSVG_PRV.txt,10/10/15
Yes,IV - Traitement gibier sauvage,Découpe du gibiers sauvage,Wild game cutting plant,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles//SSA6B_AGSANDCPGIBSVG_PRV.pdf,10/10/15
