Resultat der Anfrage

Treffer: 3570
Sektion 0 285 Treffer

Bew.Nr.;BURNR;Name;Strasse;PLZ;Ort/Kanton;Kategorie;weitere Aktivitäten;Spezies;Bem.;
038;71445115;Nestlé Suisse S.A.;Industriestrasse  21;9400;Rorschach SG;CS, RW; CP (I),  CP (II),  CP (III),  MM (V),  MP (V),  PP (VI),  PP (IX),  PP (X),  PP (XII);;;
061;42040474;Unilever Schweiz GmbH;Bahnhofstrasse 19;8240;Thayngen SH;CS, RW; PP (VI),  PP (VIII);;;
1001;62132089;Lüchinger + Schmid AG, Eier & Eiprodukte;Steinackerstrasse 35;8302;Kloten ZH ZH;CS; PP (X),  EPC (X),  LEP (X);;;
1007;51003995;Eier Hungerbühler AG;Toggenburgstrasse 23;9230;Flawil SG;CS; PP (X),  EPC (X);;;
1008;64337985;Hosberg AG Bio-Eier;Neuhofstrasse 12;8630;Rüti ZH ZH;CS; PP (X),  EPC (X),  LEP (X);;;
115;42135665;Gustav Spiess AG Fleischprodukte;Musterplatzstrasse 2;9442;Berneck SG;CS, RW; SH (I),  CP (I),  MM (V),  MP (V),  PP (VI),  PP (VIII),  PP (X),  PP (XII),  PP (XIII);;;
121;51955627;Gehrig AG;Thalstrasse 35;4710;Balsthal SO;CS, RW, WM; MP (V),  PP (VI);;;
141;52119538;Bell Suisse SA, viande et charcuterie;Chemin du Châtelard 5;1033;Cheseaux-sur-Lausanne VD;RW, WM; SH (I),  CP (I),  CP (II),  MM (V),  MP (V),  PP (VI);;;
157;45988470;Marmy SA Viande en Gros;ch. des Marais 10;1470;Estavayer-le-Lac FR;CS; SH (I),  CP (I),  PP (VI),  PP (XIII);;;
2000;74258365;Winkler Käse und Molkereiprodukte AG;Grünbergweg 33;7000;Chur GR;CS, RW, WM; PP (IX);;;
2001;41175043;Baumann Käse AG;Zürichstrasse 9;3052;Zollikofen BE;RW, WM; PP (IX);;;
2002;41642070;Emmi Käse AG;Hofstetstrasse 14;9301;Wittenbach SG;RW, WM; PP (IX);;;
2003;45127396;Käse-Reifungslager Saanenland AG;Gsteigstrasse ;3783;Grund b. Gstaad BE;RW, WM; PP (IX);;;
2004;76607493;Molkerei Amstutz AG;Feldenstrasse 2;3655;Sigriswil BE;RW, WM; PP (IX);;;
2005;41537204;Burger Käse AG;Windleten ;6372;Ennetmoos NW;RW, WM; PP (IX);;;
2006;70719477;GOURMINO AG Käserei;Dorfbergstrasse  3;3550;Langnau im Emmental BE;RW, WM; PP (IX);;;
2007;73864654;Chr. Eicher's Söhne & Cie. Käsehandel;Thunstrasse 19;3672;Oberdiessbach BE;RW, WM; PP (IX);;;
2011;75584672;Dörig Käsehandel AG;Unterdorfstrasse 26;9107;Urnäsch AR;RW, WM; PP (IX);;;
2013;74836868;Alois Koch Käsehandel;Rüeggerstrasse 6;9108;Gonten AI;RW, WM; PP (IX);;;
2015;76422125;Züger AG, Käsehandel, Appenzell;Rütistrasse 2;9050;Appenzell AI;RW, WM; PP (IX);;;
2016;69359760;Emmi Käse AG, Affinage;Rue l'Envers 16;2610;St-Imier BE;RW, WM; PP (IX);;;
2019;68373727;Pagnier & Cie;Grand-Bourgeau 14;2126;Les Verrières NE;RW, WM; PP (IX);;;
2026;75315559;Milka Käse AG Burgdorf Käsehandel;Buchmattstrasse 15;3400;Burgdorf BE;RW, WM; PP (IX);;;
2030;76690952;Schwyzer Milchhuus AG Milchprodukte;Seewenstrasse 54;6440;Brunnen SZ;RW; PP (IX);;;
2038;70298561;Emmi Käse AG;Winkelweg 4;3422;Rüdtligen BE;RW, WM; PP (IX);;;
2040;68408547;Emmental AG Exportgesellschaft für Schweizerkäse;Schlösslistrasse 12;3052;Zollikofen BE;RW, WM; PP (IX);;;
2049;52041033;Mifroma SA  Fromages;Rte du Plattiez 11;1670;Ursy FR;RW, WM; PP (IX);;;
