country;region;file;Method
UK;England;approvedcoldstoreseng.xls;UK_Model_1
UK;Scotland;standalonecoldstores-scot.xls;UK_Model_8
UK;Wales;approvedcoldstoresdec09wal.xls;UK_Model_9
UK;NIreland;coldstoresni.xls;UK_Model_10
UK;England;s-i-meat-domestic-ungulates-eng.xls;UK_Model_2
UK;NIreland;s-i-meat-domestic-ungulates-ni.xls;UK_Model_2
UK;Wales;s-i-meat-domestic-ungulates-wales.xls;UK_Model_2
UK;Scotland;s-i-meat-domestic-ungulates-scot.xls;UK_Model_2
UK;England;s-ii-meat-poultry-lagomorphs-eng.xls;UK_Model_2
UK;NIreland;s-ii-meat-poultry-lagomorphs-ni.xls;UK_Model_2
UK;Wales;s-ii-meat-poultry-lagomorphs-wales.xls;UK_Model_2
UK;Scotland;s-ii-meat-poultry-lagomorphs-scot.xls;UK_Model_2
UK;England;s-iii-meat-farmed-game-eng.xls;UK_Model_2
UK;NIreland;s-iii-meat-farmed-game-ni.xls;UK_Model_2
UK;Wales;s-iii-meat-farmed-game-wales.xls;UK_Model_2
UK;Scotland;s-iii-meat-farmed-game-scot.xls;UK_Model_2
UK;England;s-iv-wild-game-meat-eng.xls;UK_Model_2
UK;NIreland;s-iv-wild-game-meat-ni.xls;UK_Model_2
UK;Wales;s-iv-wild-game-meat-wales.xls;UK_Model_2
UK;Scotland;s-iv-wild-game-meat-scot.xls;UK_Model_2
UK;England;approvedmmmpeneng.xls;UK_Model_3
UK;NIreland;mmmpmsmni.xls;UK_Model_10
UK;Wales;approvedmmmpwales.xls;UK_Model_11
UK;Scotland;mmmp-scot.xls;UK_Model_8
UK;England;approvedgelatineeng.xls;UK_Model_3
UK;Wales;approvedgelatinewales.xls;UK_Model_10
UK;Scotland;gelatine-scot.xls;UK_Model_8
UK;England;approvedcollageneng.xls;UK_Model_3
UK;NIreland;collagenni.xls;UK_Model_10
UK;Scotland;collagen-scot.xls;UK_Model_8
UK;England;approvedrenderedfateng.xls;UK_Model_2
UK;NIreland;rendfatsgreavesni.xls;UK_Model_2
UK;Scotland;renderedrnimalfatsgreaves-scot.xls;UK_Model_2
UK;England;approvedfrogssnailseng.xls;UK_Model_2
UK;NIreland;frogssnailsni.xls;UK_Model_2
UK;Scotland;frogslegsandsnails-scot.xls;UK_Model_2
UK;England;approvedoffaleng.xls;UK_Model_5
UK;England;stombladintsni.xls;UK_Model_10
UK;England;treatedstomachswales.xls;UK_Model_9
UK;England;treatedstomachsbladders-scot.xls;UK_Model_8
UK;England;meatproductapprovaleng.xls;UK_Model_4
UK;NIreland;meatproductsni.xls;UK_Model_4
UK;Scotland;meatproducts-scot.xls;UK_Model_8
UK;Wales;approvedmpwales.xls;UK_Model_11
UK;England;approvedfishbmeng.xls;UK_Model_6
UK;Scotland;fisheryprod-scot.xls;UK_Model_8
UK;Scotland;live-bivalve-molluscs-scot.xls;UK_Model_8
UK;Wales;fishlbmw.xls;UK_Model_10
UK;NIreland;ni-fishery-approved-premises.xls;UK_Model_10
UK;England;approvedmilkddairyeng.xls;UK_Model_7
UK;Scotland;rawmiilkanddairyproducts-scot.xls;UK_Model_8
UK;Wales;walesdairies.xls;UK_Model_10
UK;NIreland;nidairies.xls;UK_Model_11
